n,estilo,file,asset_path,legenda
1,1,galeria_0001_estilo1.png,assets/galeria_0001_estilo1.png,No WhatsApp que você já tem aberto agora.
2,2,galeria_0002_estilo2.png,assets/galeria_0002_estilo2.png,Bem-vindo ao Zappelin. 🌐
3,3,galeria_0003_estilo3.png,assets/galeria_0003_estilo3.png,Você manda no chat; eu seguro o lembrete sem app novo. Manda aí.
4,1,galeria_0004_estilo1.png,assets/galeria_0004_estilo1.png,Você carrega muita coisa por dia. Soltar um pouco também é cuidado.
5,2,galeria_0005_estilo2.png,assets/galeria_0005_estilo2.png,Manda os itens conforme lembra. Eu junto tudo numa lista só. 📝
6,3,galeria_0006_estilo3.png,assets/galeria_0006_estilo3.png,Do neurônio pro chat — sem atrito.
7,1,galeria_0007_estilo1.png,assets/galeria_0007_estilo1.png,Tecnologia que some na conversa e aparece quando você precisa.
8,2,galeria_0008_estilo2.png,assets/galeria_0008_estilo2.png,Manda no Zappelin na hora do pânico. Eu devolvo com contexto. 🫠
9,3,galeria_0009_estilo3.png,assets/galeria_0009_estilo3.png,Manda no Zappelin na hora do pânico. Eu devolvo com contexto.
10,1,galeria_0010_estilo1.png,assets/galeria_0010_estilo1.png,Menos “perdi o horário” e mais “já tô na call”.
11,2,galeria_0011_estilo2.png,assets/galeria_0011_estilo2.png,"Memória, agenda e listas — tudo onde você já passa o dia. 🌐"
12,3,galeria_0012_estilo3.png,assets/galeria_0012_estilo3.png,"Interface virou conversa. Você fala, o Zappelin organiza."
13,1,galeria_0013_estilo1.png,assets/galeria_0013_estilo1.png,"A minha tá aqui, firme. Quando você quiser delegar, é só mandar."
14,2,galeria_0014_estilo2.png,assets/galeria_0014_estilo2.png,E tá tudo bem. Existe um jeito mais leve de viver com isso. 💚
15,3,galeria_0015_estilo3.png,assets/galeria_0015_estilo3.png,"Interface virou conversa. Você fala, o Zappelin organiza."
16,1,galeria_0016_estilo1.png,assets/galeria_0016_estilo1.png,"Uma conversa, todas as listas. Você só fala e eu salvo."
17,2,galeria_0017_estilo2.png,assets/galeria_0017_estilo2.png,"Uma conversa pra lembrar, listar e organizar a vida toda. ✨"
18,3,galeria_0018_estilo3.png,assets/galeria_0018_estilo3.png,Manda no Zappelin na hora do pânico. Eu devolvo com contexto.
19,1,galeria_0019_estilo1.png,assets/galeria_0019_estilo1.png,No WhatsApp que você já tem aberto agora.
20,2,galeria_0020_estilo2.png,assets/galeria_0020_estilo2.png,E tá tudo bem. Existe um jeito mais leve de viver com isso. 💚
21,3,galeria_0021_estilo3.png,assets/galeria_0021_estilo3.png,Delegar lembrete não é preguiça — é espaço pra respirar.
22,1,galeria_0022_estilo1.png,assets/galeria_0022_estilo1.png,Delegar lembrete não é preguiça — é espaço pra você respirar melhor.
23,2,galeria_0023_estilo2.png,assets/galeria_0023_estilo2.png,E tá tudo bem. Existe um jeito mais leve de viver com isso. 💚
24,3,galeria_0024_estilo3.png,assets/galeria_0024_estilo3.png,Você foca no que importa; eu cuido do resto nos bastidores.
25,1,galeria_0025_estilo1.png,assets/galeria_0025_estilo1.png,Eu lembro das datas chatas pra você só lembrar das coisas boas.
26,2,galeria_0026_estilo2.png,assets/galeria_0026_estilo2.png,Eu seguro as pontas soltas enquanto você respira. 💚
27,3,galeria_0027_estilo3.png,assets/galeria_0027_estilo3.png,Você foca no que importa; eu cuido do resto nos bastidores.
28,1,galeria_0028_estilo1.png,assets/galeria_0028_estilo1.png,"A minha tá aqui, firme. Quando você quiser delegar, é só mandar."
29,2,galeria_0029_estilo2.png,assets/galeria_0029_estilo2.png,Simples assim. ✨
30,3,galeria_0030_estilo3.png,assets/galeria_0030_estilo3.png,Manda no Zappelin na hora do pânico. Eu devolvo com contexto.
31,1,galeria_0031_estilo1.png,assets/galeria_0031_estilo1.png,"Do neurônio pro chat — sem atrito, sem formatação obrigatória."
32,2,galeria_0032_estilo2.png,assets/galeria_0032_estilo2.png,Bem-vindo ao Zappelin. 🌐
33,3,galeria_0033_estilo3.png,assets/galeria_0033_estilo3.png,Do neurônio pro chat — sem atrito.
34,1,galeria_0034_estilo1.png,assets/galeria_0034_estilo1.png,"Você manda mensagem natural, eu organizo nos bastidores."
35,2,galeria_0035_estilo2.png,assets/galeria_0035_estilo2.png,Manda no Zappelin na hora do pânico. Eu devolvo com contexto. 🫠
36,3,galeria_0036_estilo3.png,assets/galeria_0036_estilo3.png,Aquela informação que some da cabeça fica guardada no Zappelin.
